Middle Java Developer,We are looking for Java developer who will become a great part of our team.,2200,2.5,True,Middle,Java
Senior Python Developer,We are looking for Python developer who will become a great part of our team.,5000,5.5,True,Senior,Python
Junior Embedded Developer,We are looking for Embedded developer who will become a great part of our team.,100,0.5,True,Junior,Embedded
Junior DevOps Specialist,We are looking for DevOps specialist who will become a great part of our team.,1200,1.0,False,Junior,DevOps
Junior Python Developer,We are looking for Python developer who will become a great part of our team.,1000,1.0,True,Junior,Python
Principal Embedded Developer,We are looking for Embedded developer who will become a great part of our team.,6300,6.0,False,Principal,Embedded
Middle Full Stack Developer,We are looking for Full Stack developer who will become a great part of our team.,3000,3.0,True,Middle,Full Stack
Junior JavaScript Developer,We are looking for JavaScript developer who will become a great part of our team.,1300,1.5,True,Junior,JavaScript
Principal Java Developer,We are looking for Java developer who will become a great part of our team.,7200,7.0,False,Principal,Java
Middle DevOps Specialist,We are looking for DevOps specialist who will become a great part of our team.,4100,4.0,False,Middle,DevOps
Middle Management Specialist,We are looking for Management specialist who will become a great part of our team.,2100,2.0,True,Middle,Management
Senior Rust Developer,We are looking for Rust developer who will become a great part of our team.,5000,5.5,True,Senior,Rust
Junior C# Developer,We are looking for C# developer who will become a great part of our team.,1200,1.5,False,Junior,C#
Principal Management Specialist,We are looking for Management specialist who will become a great part of our team.,10200,10.5,False,Principal,Management
Intern Management Specialist,We are looking for Management specialist who will become a great part of our team.,300,0.5,True,Intern,Management
Intern Rust Developer,We are looking for Rust developer who will become a great part of our team.,0,0.0,False,Intern,Rust
Junior UI/UX Specialist,We are looking for UI/UX specialist who will become a great part of our team.,1000,1.0,True,Junior,UI/UX
Junior Embedded Developer,We are looking for Embedded developer who will become a great part of our team.,1000,1.0,False,Junior,Embedded
Intern JavaScript Developer,We are looking for JavaScript developer who will become a great part of our team.,1100,1.0,True,Intern,JavaScript
Middle Management Specialist,We are looking for Management specialist who will become a great part of our team.,2000,2.5,True,Middle,Management
Junior C# Developer,We are looking for C# developer who will become a great part of our team.,0,0.5,True,Junior,C#
Middle Python Developer,We are looking for Python developer who will become a great part of our team.,4000,4.0,True,Middle,Python
Intern Embedded Developer,We are looking for Embedded developer who will become a great part of our team.,0,0.5,True,Intern,Embedded
Intern UI/UX Specialist,We are looking for UI/UX specialist who will become a great part of our team.,1100,1.0,False,Intern,UI/UX
Junior Rust Developer,We are looking for Rust developer who will become a great part of our team.,1300,1.5,False,Junior,Rust
Middle Rust Developer,We are looking for Rust developer who will become a great part of our team.,4100,4.0,False,Middle,Rust
Principal QA Specialist,We are looking for QA specialist who will become a great part of our team.,8300,8.5,False,Principal,QA
Principal Java Developer,We are looking for Java developer who will become a great part of our team.,8100,8.0,False,Principal,Java
Intern Support Specialist,We are looking for Support specialist who will become a great part of our team.,1100,1.0,False,Intern,Support
Senior DevOps Specialist,We are looking for DevOps specialist who will become a great part of our team.,5100,5.0,False,Senior,DevOps
Intern C# Developer,We are looking for C# developer who will become a great part of our team.,100,0.5,False,Intern,C#
Middle Embedded Developer,We are looking for Embedded developer who will become a great part of our team.,3100,3.5,False,Middle,Embedded
Junior Python Developer,We are looking for Python developer who will become a great part of our team.,1000,1.0,False,Junior,Python
Principal Support Specialist,We are looking for Support specialist who will become a great part of our team.,9200,9.5,False,Principal,Support
Middle DevOps Specialist,We are looking for DevOps specialist who will become a great part of our team.,3200,3.5,True,Middle,DevOps
Senior Support Specialist,We are looking for Support specialist who will become a great part of our team.,4000,4.5,True,Senior,Support
Intern HR Specialist,We are looking for HR specialist who will become a great part of our team.,300,0.5,False,Intern,HR
Middle Full Stack Developer,We are looking for Full Stack developer who will become a great part of our team.,4100,4.0,True,Middle,Full Stack
Junior Python Developer,We are looking for Python developer who will become a great part of our team.,200,0.5,False,Junior,Python
Junior Rust Developer,We are looking for Rust developer who will become a great part of our team.,1300,1.5,True,Junior,Rust
Senior UI/UX Specialist,We are looking for UI/UX specialist who will become a great part of our team.,4300,4.5,False,Senior,UI/UX
Middle Python Developer,We are looking for Python developer who will become a great part of our team.,1100,1.5,False,Middle,Python
Junior Python Developer,We are looking for Python developer who will become a great part of our team.,1100,1.5,False,Junior,Python
Principal JavaScript Developer,We are looking for JavaScript developer who will become a great part of our team.,13200,13.0,False,Principal,JavaScript
Senior Data Science Specialist,We are looking for Data Science specialist who will become a great part of our team.,5300,5.0,False,Senior,Data Science
Middle Full Stack Developer,We are looking for Full Stack developer who will become a great part of our team.,3300,3.5,False,Middle,Full Stack
Junior Rust Developer,We are looking for Rust developer who will become a great part of our team.,1300,1.0,False,Junior,Rust
Principal DevOps Specialist,We are looking for DevOps specialist who will become a great part of our team.,13000,13.0,True,Principal,DevOps
Senior Full Stack Developer,We are looking for Full Stack developer who will become a great part of our team.,6200,6.0,False,Senior,Full Stack
Senior HR Specialist,We are looking for HR specialist who will become a great part of our team.,6100,6.0,False,Senior,HR
Middle Support Specialist,We are looking for Support specialist who will become a great part of our team.,4000,4.0,False,Middle,Support
Intern Embedded Developer,We are looking for Embedded developer who will become a great part of our team.,0,0.0,True,Intern,Embedded
Junior Management Specialist,We are looking for Management specialist who will become a great part of our team.,1300,1.0,False,Junior,Management
Principal Rust Developer,We are looking for Rust developer who will become a great part of our team.,12100,12.0,True,Principal,Rust
Principal Management Specialist,We are looking for Management specialist who will become a great part of our team.,9000,9.0,False,Principal,Management
Senior Python Developer,We are looking for Python developer who will become a great part of our team.,4300,4.0,False,Senior,Python
